title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
"Lion in Winter, The ","UK, USA","Biography, Drama, History",English,2,TRUE,PG,30/10/1968,134 min,19/06/2001,"26,827",79,400,202133,20,8.1/10,92%,0,1,12,18,Low
Wake in Fright ,"Australia, USA, UK","Drama, Thriller",English,2,TRUE,R,09/10/1971,109 min,15/01/2013,"8,442",,,,,7.7/10,100%,88/100,0,0,1,Low
Asylum ,UK,Horror,English,1,FALSE,PG,17/11/1972,88 min,17/01/2006,"5,051",,,,,6.5/10,36%,0,0,2,0,Low
Freebie and the Bean ,USA,"Action, Comedy, Crime","English, Spanish",2,TRUE,R,25/12/1974,113 min,11/01/2011,"2,165",3,31,9033,1,6.6/10,27%,0,1,1,1,Low
Stalker ,Soviet Union,"Drama, Sci-Fi",Russian,4,TRUE,Not Rated,17/04/1980,162 min,15/10/2002,"97,576",44,270,154802,17,8.1/10,100%,0,0,2,1,Low
S.O.B. ,USA,"Comedy, Drama",English,1,FALSE,R,01/07/1981,122 min,04/06/2002,"5,055",0,,37082,,6.4/10,86%,62/100,1,1,3,High
Scarface ,USA,"Crime, Drama","English, Spanish",1,TRUE,R,09/12/1983,170 min,30/09/2003,"6,66,883",2,65,20330,1,8.3/10,81%,65/100,1,0,4,Low
"Aviator, The ",USA,"Adventure, Drama",English,2,TRUE,PG,15/03/1985,96 min,16/04/2002,"1,002",2,23,10726,2,5.5/10,0,0,0,0,0,Low
Desperately Seeking Susan ,USA,"Comedy, Drama",English,1,FALSE,PG-13,12/04/1985,104 min,13/06/2000,"18,894",1,19,2741,0,5.9/10,85%,71/100,1,1,2,High
Silverado ,USA,"Action, Crime, Drama, Romance, Western",English,2,FALSE,PG-13,10/07/1985,133 min,31/05/1999,"33,847",,,,,7.2/10,77%,64/100,1,1,2,High
After Hours ,USA,"Comedy, Crime, Drama, Thriller",English,1,FALSE,R,11/10/1985,97 min,17/08/2004,"49,616",236,1016,478191,32,7.7/10,88%,90/100,1,3,8,High
Shoah ,"France, UK","Documentary, History, War","German, Hebrew, Polish, Yiddish, French, English, Greek, Italian",1,FALSE,Not Rated,01/11/1985,566 min,07/10/2003,"7,602",1,24,8252,2,8.4/10,100%,99/100,0,14,0,Low
Nobody's Fool ,USA,"Comedy, Drama, Romance",English,1,FALSE,PG-13,07/11/1986,107 min,25/01/2005,694,2,16,4541,1,5.5/10,0%,0,0,0,0,Low
Amazon Women on the Moon ,USA,"Comedy, Sci-Fi",English,2,FALSE,R,18/09/1987,85 min,10/10/2000,"9,382",13,136,63014,5,6.2/10,59%,0,0,0,0,Low
Cinema Paradiso ,"Italy, France",Drama,Italian,4,TRUE,R,23/02/1990,155 min,18/02/2003,"2,01,580",134,1860,976448,92,8.5/10,90%,80/100,1,23,31,Low
Total Recall ,"USA, Mexico","Action, Sci-Fi, Thriller",English,7,TRUE,R,01/06/1990,113 min,29/08/2000,"2,78,479",57,478,258470,22,7.5/10,82%,57/100,1,8,14,High
Flight of the Intruder ,USA,"Action, Drama, Thriller, War",English,3,TRUE,PG-13,18/01/1991,115 min,01/07/2003,"5,775",,,70193,,5.8/10,25%,0,0,0,0,High
Terminator 2: Judgment Day ,"USA, France","Action, Sci-Fi","English, Spanish",2,FALSE,R,03/07/1991,137 min,31/03/1998,"9,08,655",38,382,188124,25,8.5/10,93%,75/100,1,27,27,High
Howards End ,"UK, Japan, USA","Drama, Romance","English, German",2,TRUE,PG,26/02/1993,142 min,18/06/2001,"25,684",31,458,156055,12,7.5/10,94%,89/100,1,29,48,Low
Orlando ,"UK, Russia, Italy, France, Netherlands","Biography, Drama, Fantasy, Romance","English, French",2,TRUE,PG-13,09/06/1993,94 min,03/08/1999,"12,058",8,321,106892,12,7.2/10,84%,74/100,1,15,8,Low
"Nightmare Before Christmas, The ",USA,"Animation, Family, Fantasy, Musical",English,3,TRUE,PG,29/10/1993,76 min,02/12/1997,"2,68,766",1836,15979,3314819,852,8.0/10,95%,82/100,1,7,12,High
Forrest Gump ,USA,"Drama, Romance",English,2,TRUE,PG-13,06/07/1994,142 min,28/08/2001,"16,11,302",,,1605769,,8.8/10,72%,82/100,1,40,67,High
Crash ,"Canada, UK",Drama,"English, Swedish",2,TRUE,R,21/03/1997,100 min,17/11/1998,"47,975",151,479,1031680,53,6.4/10,59%,47/100,0,8,4,Low
Deceiver ,USA,"Crime, Drama, Mystery, Thriller","English, Spanish",2,FALSE,R,30/01/1998,106 min,16/04/2002,"5,620",0,18,13370,1,6.7/10,48%,0,0,3,0,Low
Hope Floats ,USA,"Drama, Romance",English,1,FALSE,PG-13,29/05/1998,114 min,08/01/2002,"22,466",,,,,6.0/10,26%,42/100,0,3,9,High
Shiri ,South Korea,"Action, Thriller",Korean,1,FALSE,R,13/02/1999,125 min,09/04/2002,"7,539",,,,,6.7/10,59%,50/100,0,7,2,Low
"Whole Nine Yards, The ",USA,"Comedy, Crime","English, French, Spanish",1,FALSE,R,18/02/2000,98 min,18/07/2000,"1,02,811",8,116,67186,6,6.7/10,45%,47/100,0,0,5,High
Big Momma's House ,"USA, Germany","Action, Comedy, Crime",English,3,TRUE,PG-13,02/06/2000,99 min,28/11/2000,"76,153",0,13,11856,1,5.1/10,30%,33/100,0,1,9,Low
Gone in 60 Seconds ,USA,"Action, Crime, Thriller",English,2,TRUE,PG-13,09/06/2000,118 min,05/12/2000,"2,46,238",46,425,422253,44,6.5/10,25%,35/100,0,9,6,High
Shaft ,"Germany, USA","Action, Crime, Thriller","English, German, Spanish",6,TRUE,R,16/06/2000,99 min,12/12/2000,"65,683",,,483303,,5.9/10,67%,50/100,0,1,13,High
Tuvalu ,Germany,"Comedy, Drama, Romance",None,3,TRUE,NOT RATED,22/06/2000,101 min,24/09/2002,"2,383",,,,,7.5/10,73%,58/100,0,24,11,Low
Chicken Run ,"UK, USA, France","Animation, Adventure, Comedy, Drama, Family",English,5,TRUE,G,23/06/2000,84 min,21/11/2000,"1,64,054",6,76,74040,10,7.0/10,97%,88/100,1,23,25,High
"Patriot, The ","USA, Germany","Action, Drama, History, War",English,1,FALSE,R,28/06/2000,165 min,25/04/2006,"2,37,771",9,58,45880,2,7.2/10,61%,63/100,1,8,18,Low
"Adventures of Rocky and Bullwinkle, The ","USA, Germany, South Korea, India, Canada","Animation, Adventure, Comedy, Family, Fantasy",English,2,TRUE,PG,30/06/2000,92 min,13/02/2001,"18,355",,283,,60,4.2/10,44%,36/100,0,2,6,Low
"Kid, The ",USA,"Comedy, Family, Fantasy",English,1,FALSE,PG,07/07/2000,104 min,23/01/2003,"38,120",,,383097,,6.1/10,49%,45/100,0,1,3,High
Essex Boys ,UK,"Crime, Thriller",English,2,FALSE,R,14/07/2000,102 min,04/12/2001,"3,552",,,17973,,6.1/10,17%,0,0,0,0,Low
Thomas and the Magic Railroad ,"UK, USA","Adventure, Comedy, Drama, Family, Fantasy",English,1,FALSE,G,26/07/2000,85 min,31/10/2000,"3,428",59,226,434123,52,3.9/10,21%,19/100,0,0,2,Low
Hollow Man ,"USA, Germany","Action, Horror, Sci-Fi, Thriller",English,3,TRUE,R,04/08/2000,112 min,08/05/2001,"1,14,699",83,2206,3925529,757,5.7/10,28%,24/100,1,7,11,High
Bless the Child ,"USA, Germany","Crime, Drama, Horror",English,4,TRUE,R,11/08/2000,107 min,13/02/2001,"13,037",,,100004,,5.1/10,3%,17/100,0,1,6,High
But I'm a Cheerleader ,USA,"Comedy, Drama, Romance",English,2,TRUE,R,11/08/2000,85 min,03/10/2000,"23,329",,,,,6.6/10,39%,39/100,0,2,2,Low
"Replacements, The ",USA,"Comedy, Sport","English, American Sign Language",1,FALSE,PG-13,11/08/2000,118 min,28/11/2000,"54,463",2,10,6915,2,6.5/10,41%,30/100,0,0,0,High
"Original Kings of Comedy, The ",USA,"Comedy, Documentary",English,4,FALSE,R,18/08/2000,115 min,27/02/2001,"5,079",9,141,81378,10,6.7/10,86%,76/100,0,0,3,High
"Art of War, The ","USA, Canada","Action, Adventure, Crime, Thriller",English,3,TRUE,R,25/08/2000,117 min,26/12/2000,"27,424",,,,,5.7/10,16%,30/100,0,2,9,High
"Crew, The ",USA,"Crime, Comedy","English, Spanish",1,FALSE,PG-13,25/08/2000,88 min,13/03/2001,"4,330",1,21,7155,1,5.6/10,20%,37/100,0,1,0,High
Bring It On ,USA,"Comedy, Romance, Sport",English,1,FALSE,PG-13,25/08/2000,98 min,13/02/2001,"81,180",206,979,1742937,137,6.0/10,63%,52/100,0,2,7,High
Nine Queens ,Argentina,"Crime, Drama, Thriller",Spanish,1,FALSE,R,31/08/2000,114 min,01/10/2002,"45,575",52,163,163435,13,7.9/10,92%,80/100,0,22,8,Low
Saving Grace ,UK,"Comedy, Crime","English, French",3,TRUE,R,01/09/2000,93 min,19/12/2000,"16,777",,,,,6.9/10,63%,62/100,1,4,8,High
"Tao of Steve, The ",USA,"Comedy, Drama, Romance",English,5,TRUE,R,01/09/2000,87 min,20/03/2001,"7,131",25,122,143704,7,6.7/10,80%,70/100,0,1,1,Low
Whipped ,USA,"Comedy, Romance","English, Italian",1,FALSE,R,01/09/2000,82 min,06/02/2001,"3,822",1,4,2656,2,4.5/10,13%,10/100,0,0,1,Low
Back Stage ,USA,Documentary,English,,FALSE,R,06/09/2000,86 min,13/02/2001,286,1,,5818,,5.6/10,31%,29/100,0,0,1,Low
"Way of the Gun, The ",USA,"Action, Crime, Drama, Thriller","English, Spanish",1,FALSE,R,08/09/2000,119 min,19/06/2001,"30,143",87,332,305337,27,6.7/10,48%,49/100,0,0,0,Low
"Watcher, The ",USA,"Crime, Drama, Mystery, Thriller","English, Vietnamese",4,TRUE,R,08/09/2000,97 min,02/09/2003,"24,245",28,155,61039,6,5.3/10,10%,22/100,0,0,1,High
Bait ,"Canada, USA","Action, Comedy, Crime, Thriller",English,3,FALSE,R,15/09/2000,119 min,23/01/2001,"10,039",,,,,5.8/10,26%,39/100,0,0,0,High
Duets ,USA,"Comedy, Drama, Music, Romance",English,1,FALSE,R,15/09/2000,112 min,08/05/2001,"8,821",2,19,22775,3,6.0/10,21%,40/100,0,0,1,Low
Urban Legends: Final Cut ,"USA, Canada, France","Horror, Mystery, Thriller",English,3,TRUE,R,22/09/2000,97 min,26/06/2001,"14,849",21,105,76637,7,4.2/10,9%,16/100,0,1,1,High
Beautiful ,"USA, UK","Drama, Comedy",English,1,FALSE,PG-13,29/09/2000,112 min,20/02/2001,"3,502",15,104,,16,5.5/10,16%,23/100,0,0,2,Low
Meet the Parents ,USA,"Comedy, Romance","English, Thai, Spanish, Hebrew, French",6,TRUE,PG-13,06/10/2000,108 min,06/03/2001,"2,93,116",0,9,15435,1,7.0/10,84%,73/100,1,7,14,High
Dancer in the Dark ,"Denmark, Germany, Netherlands, Italy, USA, UK, France, Sweden, Finland, Iceland, Argentina, Norway, Taiwan, Belgium","Crime, Drama, Musical","English, German, Czech",1,FALSE,R,06/10/2000,140 min,20/03/2001,"93,845",346,2801,1055617,102,8.0/10,68%,61/100,1,33,46,Low
Get Carter ,USA,"Action, Crime, Drama, Thriller",English,2,TRUE,R,06/10/2000,102 min,13/02/2001,"30,705",73,289,317225,33,5.1/10,11%,24/100,0,0,5,High
"Contender, The ","USA, Germany, UK","Drama, Thriller",English,1,FALSE,R,13/10/2000,126 min,27/02/2001,"21,923",,,60150,,7.0/10,76%,59/100,1,1,20,High
"Ladies Man, The ",USA,Comedy,English,3,FALSE,R,13/10/2000,84 min,17/04/2001,"11,833",,,,,5.2/10,11%,22/100,0,0,1,High
Bamboozled ,USA,"Comedy, Drama, Music",English,1,FALSE,R,20/10/2000,135 min,17/04/2001,"9,498",14,69,31013,8,6.5/10,48%,50/100,0,1,10,Low
Pay It Forward ,USA,Drama,English,2,TRUE,PG-13,20/10/2000,123 min,15/05/2001,"1,07,040",444,2868,1259103,86,7.2/10,40%,40/100,0,1,4,High
"Little Vampire, The ","Germany, Netherlands, USA","Adventure, Comedy, Family, Fantasy",English,3,TRUE,PG,27/10/2000,95 min,06/03/2001,"8,842",15,243,68966,11,5.8/10,55%,45/100,0,1,3,High
Lucky Numbers ,"France, USA","Comedy, Crime",English,1,FALSE,R,27/10/2000,105 min,20/03/2001,"9,395",,,31099,,5.0/10,22%,31/100,0,2,1,High
Little Nicky ,USA,"Comedy, Fantasy",English,3,FALSE,PG-13,10/11/2000,90 min,24/04/2001,"91,460",167,1082,504664,131,5.3/10,22%,38/100,0,1,12,High
How the Grinch Stole Christmas ,USA,"Comedy, Family, Fantasy",English,3,TRUE,PG,17/11/2000,104 min,20/11/2001,"1,83,494",21,102,79060,13,6.1/10,51%,46/100,1,17,37,High
"6th Day, The ","USA, Canada","Action, Mystery, Sci-Fi, Thriller",English,2,FALSE,PG-13,17/11/2000,123 min,27/03/2001,"1,10,730",56,,175669,,5.9/10,41%,49/100,0,0,8,High
102 Dalmatians ,"USA, UK","Adventure, Comedy, Family",English,7,TRUE,G,22/11/2000,100 min,03/04/2001,"31,929",92,594,560389,59,4.9/10,31%,35/100,1,1,6,High
Unbreakable ,USA,"Drama, Mystery, Sci-Fi, Thriller",English,1,FALSE,PG-13,22/11/2000,106 min,26/06/2001,"3,51,650",,,1420450,,7.3/10,70%,62/100,0,2,13,High
Proof of Life ,USA,"Action, Drama, Thriller","English, Spanish, Russian, Italian, French",3,TRUE,R,08/12/2000,135 min,19/06/2001,"52,884",0,,27354,,6.2/10,39%,45/100,0,0,5,High
"Dude, Where's My Car? ",USA,"Comedy, Mystery, Sci-Fi","English, Japanese, French",1,FALSE,PG-13,15/12/2000,83 min,26/06/2001,"1,28,044",9,3572,1920846,155,5.5/10,17%,30/100,0,0,5,High
"Emperor's New Groove, The ",USA,"Animation, Adventure, Comedy, Family, Fantasy",English,11,TRUE,G,15/12/2000,78 min,01/05/2001,"1,60,738",,,115691,,7.4/10,85%,70/100,1,7,26,High
What Women Want ,USA,"Comedy, Fantasy, Romance","English, French",5,TRUE,PG-13,15/12/2000,127 min,08/05/2001,"1,80,772",,,,,6.4/10,54%,47/100,1,5,8,High
You Can Count on Me ,USA,Drama,English,1,FALSE,R,22/12/2000,111 min,26/06/2001,"26,069",,,,,7.6/10,95%,85/100,1,30,41,High
All the Pretty Horses ,USA,"Drama, Romance, Western","English, Spanish",2,TRUE,PG-13,25/12/2000,116 min,08/05/2001,"12,390",85,331,341140,37,5.8/10,32%,55/100,1,2,13,High
Traffic ,"USA, Mexico, Germany","Crime, Drama, Thriller","English, Spanish",2,TRUE,R,05/01/2001,147 min,29/05/2001,"1,86,306",71,279,550324,86,7.6/10,92%,86/100,1,69,83,High
Antitrust ,USA,"Action, Crime, Drama, Thriller",English,1,FALSE,PG-13,12/01/2001,105 min,26/12/2001,"27,465",4,36,33002,1,6.1/10,24%,31/100,0,2,3,High
State and Main ,"France, USA","Comedy, Drama","English, Italian",1,FALSE,R,12/01/2001,105 min,19/06/2001,"19,465",19,45,54253,4,6.8/10,86%,75/100,0,7,8,High
Hell's Kitchen ,USA,"Crime, Drama",English,2,FALSE,R,19/01/2001,95 min,11/05/2004,"2,331",1,11,16426,0,4.8/10,40%,0,0,0,0,Low
Snatch ,"UK, USA","Comedy, Crime","English, Russian",1,FALSE,R,19/01/2001,102 min,03/07/2001,"7,20,038",,,1036794,,8.3/10,73%,55/100,0,4,6,High
Valentine ,USA,"Horror, Mystery, Thriller",English,5,TRUE,R,02/02/2001,96 min,24/07/2001,"23,357",124,390,241730,30,4.8/10,11%,18/100,0,1,0,High
Head Over Heels ,USA,"Comedy, Mystery, Romance","English, Russian",6,TRUE,PG-13,02/02/2001,86 min,31/07/2001,"13,077",70,1684,649656,46,5.4/10,10%,27/100,0,0,0,High
"O Brother, Where Art Thou? ","UK, France, USA","Adventure, Comedy, Crime, Music",English,3,FALSE,PG-13,02/02/2001,107 min,12/06/2001,"2,65,147",245,1357,1464791,57,7.8/10,77%,69/100,1,7,35,High
"Last Kiss, The ",Italy,"Comedy, Drama, Romance",Italian,2,TRUE,R,02/02/2001,115 min,11/11/2003,"7,464",6,198,160275,27,7.0/10,73%,65/100,0,16,14,Low
Saving Silverman ,"USA, Australia","Comedy, Crime, Romance","English, Thai",2,FALSE,PG-13,09/02/2001,90 min,17/07/2001,"36,701",44,239,123604,18,5.9/10,18%,22/100,0,0,0,High
Hannibal ,"USA, UK, Italy","Crime, Drama, Thriller","English, Italian, Japanese",3,TRUE,R,09/02/2001,131 min,21/08/2001,"2,37,161",,,,,6.8/10,39%,57/100,0,8,17,High
Before Night Falls ,USA,"Biography, Drama, Romance","English, Spanish, Russian, French",5,TRUE,R,23/02/2001,133 min,22/05/2001,"22,769",38,476,195650,30,7.3/10,73%,85/100,1,15,21,Low
Haunted Castle ,"Belgium, USA","Animation, Short, Horror, Thriller",English,2,FALSE,PG,23/02/2001,38 min,16/10/2001,437,2,6,3793,1,5.3/10,25%,0,0,0,0,High
Get Over It ,USA,"Comedy, Romance",English,1,FALSE,PG-13,09/03/2001,87 min,14/08/2001,"16,953",14,191,89700,10,5.8/10,44%,52/100,0,0,4,High
"Son's Room, The ","Italy, France",Drama,"Italian, Latin",4,TRUE,R,09/03/2001,99 min,08/10/2002,"16,343",11,55,61550,8,7.4/10,84%,73/100,0,16,26,Low
15 Minutes ,"USA, Germany","Action, Crime, Drama, Thriller","English, Czech, Russian, Greek, Afrikaans",1,FALSE,R,09/03/2001,120 min,14/08/2001,"46,503",8,62,41611,7,6.1/10,32%,34/100,0,0,1,High
Never Again ,USA,"Comedy, Romance",English,1,FALSE,R,11/03/2001,98 min,28/01/2003,737,17,60,15650,1,6.1/10,31%,30/100,0,0,1,Low
Elling ,Norway,"Comedy, Drama",Norwegian,3,TRUE,R,16/03/2001,89 min,19/11/2002,"13,412",12,115,104443,21,7.6/10,85%,70/100,1,14,4,Low
Enemy at the Gates ,"UK, France, Germany, Ireland, USA","Drama, History, War","English, German, Russian",2,FALSE,R,16/03/2001,131 min,14/08/2001,"2,24,799",,,,,7.6/10,54%,53/100,0,0,4,High
Say It Isn't So ,USA,"Comedy, Romance",English,2,FALSE,R,23/03/2001,95 min,21/08/2001,"12,120",20,335,170523,21,5.0/10,9%,21/100,0,0,1,Low
Pollock ,USA,"Biography, Drama",English,4,TRUE,R,23/03/2001,122 min,24/07/2001,"25,606",129,863,490225,33,7.0/10,81%,77/100,1,2,9,High
"Everlasting Piece, An ",USA,Comedy,English,1,FALSE,R,23/03/2001,103 min,07/08/2001,"1,449",,,2892,,6.3/10,48%,56/100,0,0,1,Low
Tomcats ,USA,Comedy,English,1,FALSE,R,30/03/2001,95 min,14/08/2001,"16,633",4,27,44322,3,5.3/10,14%,15/100,0,0,2,High
Someone Like You ,USA,"Comedy, Romance",English,2,TRUE,PG-13,30/03/2001,97 min,18/09/2001,"22,154",8,180,101204,8,6.1/10,42%,32/100,0,0,0,High
Along Came a Spider ,"USA, Germany, Canada","Drama, Thriller","English, Russian",2,TRUE,R,06/04/2001,104 min,25/09/2001,"68,530",15,150,213034,14,6.3/10,31%,42/100,0,1,1,High
Joe Dirt ,USA,"Adventure, Comedy, Drama",English,2,FALSE,PG-13,11/04/2001,91 min,28/08/2001,"47,494",227,1398,945699,133,5.9/10,11%,20/100,0,1,3,High
Freddy Got Fingered ,USA,Comedy,English,2,FALSE,R,20/04/2001,87 min,23/10/2001,"43,804",13,97,69100,18,4.5/10,10%,13/100,0,12,6,High
Town & Country ,USA,"Comedy, Romance",English,2,FALSE,R,27/04/2001,104 min,16/10/2001,"4,472",,,38111,,4.4/10,13%,34/100,0,1,5,High
"Knight's Tale, A ",USA,"Action, Adventure, Romance","English, French",1,FALSE,PG-13,11/05/2001,132 min,25/09/2001,"1,57,759",216,2431,1299915,103,6.9/10,58%,56/100,0,4,10,High
In Praise of Love ,"France, Switzerland",Drama,"French, English",1,FALSE,PG,16/05/2001,97 min,22/07/2003,"2,542",6,104,35053,2,6.5/10,51%,62/100,0,2,3,Low
Shrek ,USA,"Animation, Adventure, Comedy, Family, Fantasy",English,8,TRUE,PG,18/05/2001,90 min,02/11/2001,"5,60,926",856,3957,4201772,851,7.9/10,88%,84/100,1,36,60,High
"Golden Bowl, The ","USA, France, UK","Drama, Romance",English,2,TRUE,R,25/05/2001,130 min,06/11/2001,"4,057",,,,,6.0/10,53%,62/100,0,1,1,Low
Moulin Rouge ,"Australia, USA","Drama, Musical, Romance","English, French, Spanish",2,FALSE,PG-13,01/06/2001,127 min,18/12/2001,"2,52,129",374,3122,1962011,242,7.6/10,76%,66/100,1,84,129,High
What's the Worst That Could Happen? ,USA,"Comedy, Crime","English, American Sign Language",2,TRUE,PG-13,01/06/2001,94 min,01/01/2002,"14,122",0,10,9524,0,5.5/10,10%,37/100,0,0,0,High
Startup.com ,USA,Documentary,English,,FALSE,R,01/06/2001,107 min,18/09/2001,"3,140",,,103512,,7.1/10,92%,75/100,0,10,6,Low
Lara Croft: Tomb Raider ,"USA, UK, Japan, Germany","Action, Adventure, Fantasy, Thriller",English,6,TRUE,PG-13,15/06/2001,100 min,13/11/2001,"1,85,898",434,3248,2212322,261,5.8/10,20%,33/100,0,4,18,High
"Road Home, The ",China,"Drama, History, Romance",Mandarin,2,TRUE,G,15/06/2001,89 min,27/11/2001,"11,635",42,321,101327,6,7.8/10,89%,71/100,0,16,6,Low
"Fast and the Furious, The ","USA, Germany","Action, Crime, Thriller","English, Spanish",5,TRUE,PG-13,22/06/2001,106 min,01/01/2002,"3,20,970",,,,,6.8/10,53%,58/100,0,11,12,High
Dr. Dolittle 2 ,USA,"Comedy, Family, Fantasy",English,2,TRUE,PG,22/06/2001,87 min,23/10/2001,"38,983",,,,,4.7/10,42%,49/100,0,3,6,High
Baby Boy ,USA,"Crime, Drama, Romance, Thriller",English,1,FALSE,R,27/06/2001,130 min,06/11/2001,"11,575",60,399,350619,31,6.4/10,71%,55/100,0,1,14,High
Pootie Tang ,USA,"Action, Adventure, Comedy, Musical",English,1,FALSE,PG-13,29/06/2001,81 min,27/11/2001,"12,847",244,936,662638,89,5.2/10,27%,31/100,0,0,1,Low
Crazy/Beautiful ,USA,"Drama, Romance",English,2,FALSE,PG-13,29/06/2001,99 min,13/11/2001,"22,948",,,,,6.5/10,63%,61/100,0,0,5,High
Trouble Every Day ,"France, Germany, Japan","Drama, Horror, Thriller","French, English",2,FALSE,Not Rated,11/07/2001,101 min,26/04/2005,"6,506",0,37,12494,0,6.0/10,50%,40/100,0,0,3,Low
Shaolin Soccer ,"Hong Kong, China","Action, Comedy, Fantasy, Sport","English, Cantonese, Mandarin",6,FALSE,PG,12/07/2001,87 min,24/08/2004,"68,912",537,2025,1781928,132,7.3/10,90%,68/100,0,12,14,Low
Legally Blonde ,USA,"Comedy, Romance",English,3,TRUE,PG-13,13/07/2001,96 min,06/11/2001,"1,66,097",7,82,62533,4,6.3/10,69%,59/100,1,6,10,High
Planet of the Apes ,USA,"Action, Adventure, Sci-Fi, Thriller",English,4,TRUE,PG-13,27/07/2001,119 min,20/11/2001,"2,01,406",14,69,87514,5,5.7/10,45%,50/100,1,10,27,High
Original Sin ,"France, Mexico, USA","Drama, Mystery, Romance, Thriller","English, German, Japanese, Latin, Spanish",2,TRUE,R,03/08/2001,116 min,26/03/2002,"50,495",66,580,2658702,161,6.0/10,12%,33/100,0,0,2,High
Osmosis Jones ,USA,"Animation, Action, Adventure, Comedy, Crime, Family, Fantasy, Sci-Fi",English,1,FALSE,PG,10/08/2001,95 min,13/11/2001,"29,748",106,1149,187218,32,6.3/10,55%,57/100,0,1,7,High
Captain Corelli's Mandolin ,"UK, France, USA","Drama, Music, Romance, War","English, Greek, German, Italian",2,TRUE,R,17/08/2001,131 min,05/02/2002,"31,261",2,95,54611,8,5.9/10,28%,36/100,0,2,5,High
Rat Race ,USA,"Adventure, Comedy",English,1,FALSE,PG-13,17/08/2001,112 min,29/01/2002,"1,02,571",,,,,6.4/10,43%,52/100,0,0,3,High
Summer Catch ,USA,"Comedy, Drama, Romance, Sport",English,3,TRUE,PG-13,24/08/2001,108 min,04/12/2001,"14,559",33,529,238576,17,5.0/10,8%,21/100,0,0,1,High
Ghosts of Mars ,USA,"Action, Horror, Sci-Fi",English,2,FALSE,R,24/08/2001,98 min,04/12/2001,"48,196",,,,,4.9/10,21%,35/100,0,0,2,High
